time,pleth_1
22:48.3,65589
22:48.3,65589
22:48.3,65595
22:48.3,65591
22:48.3,65583
22:48.3,65590
22:48.3,65590
22:48.3,65594
22:48.3,65593
22:48.3,65594
22:48.3,65599
22:48.3,65599
22:48.3,65597
22:48.3,65585
22:48.3,65585
22:48.3,65590
22:48.3,65590
22:48.3,65604
22:48.3,65592
22:48.3,65592
22:48.3,65587
22:48.3,65587
22:48.3,65602
22:48.4,65581
22:48.4,65585
22:48.4,65595
22:48.4,65595
22:48.4,65605
22:48.4,65591
22:48.4,65596
22:48.4,65585
22:48.4,65585
22:48.4,65595
22:48.4,65595
22:48.4,65591
22:48.4,65594
22:48.4,65594
22:48.4,65591
22:48.4,65597
22:48.4,65599
22:48.4,65603
22:48.4,65603
22:48.4,65600
22:48.4,65602
22:48.4,65599
22:48.4,65602
22:48.4,65602
22:48.4,65593
22:48.4,65602
22:48.4,65598
22:48.4,65598
22:48.4,65612
22:48.4,65599
22:48.4,65601
22:48.4,65603
22:48.4,65603
22:48.4,65598
22:48.4,65595
22:48.4,65590
22:48.4,65613
22:48.4,65613
22:48.4,65588
22:48.4,65601
22:48.4,65608
22:48.4,65605
22:48.4,65605
22:48.4,65614
22:48.4,65611
22:48.4,65627
22:48.4,65606
22:48.4,65606
22:48.4,65624
22:48.4,65627
22:48.5,65628
22:48.5,65636
22:48.5,65636
22:48.5,65626
22:48.5,65622
22:48.5,65633
22:48.5,65629
22:48.5,65629
22:48.5,65634
22:48.5,65636
22:48.5,65643
22:48.5,65626
22:48.5,65626
22:48.5,65641
22:48.5,65629
22:48.5,65635
22:48.5,65650
22:48.5,65650
22:48.5,65640
22:48.5,65641
22:48.5,65650
22:48.5,65650
22:48.5,65650
22:48.5,65651
22:48.5,65657
22:48.5,65659
22:48.5,65659
22:48.5,65668
22:48.5,65666
22:48.5,65664
22:48.5,65669
22:48.5,65669
22:48.5,65687
22:48.5,65670
22:48.5,65671
22:48.5,65678
22:48.5,65678
22:48.5,65689
22:48.5,65685
22:48.5,65691
22:48.5,65693
22:48.5,65693
22:48.5,65705
22:48.5,65706
22:48.5,65699
22:48.5,65693
22:48.5,65693
22:48.5,65692
22:48.5,65699
22:48.5,65704
22:48.6,65702
22:48.6,65702
22:48.6,65710
22:48.6,65719
22:48.6,65716
22:48.6,65718
22:48.6,65718
22:48.6,65729
22:48.6,65733
22:48.6,65719
22:48.6,65730
22:48.6,65730
22:48.6,65728
22:48.6,65736
22:48.6,65752
22:48.6,65750
22:48.6,65750
22:48.6,65745
22:48.6,65755
22:48.6,65751
22:48.6,65764
22:48.6,65764
22:48.6,65762
22:48.6,65759
22:48.6,65760
22:48.6,65760
22:48.6,65767
22:48.6,65770
22:48.6,65773
22:48.6,65784
22:48.6,65784
22:48.6,65787
22:48.6,65770
22:48.6,65768
22:48.6,65759
22:48.6,65759
22:48.6,65757
22:48.6,65754
22:48.6,65746
22:48.6,65727
22:48.6,65727
22:48.6,65737
22:48.6,65708
22:48.6,65711
22:48.6,65705
22:48.6,65705
22:48.6,65693
22:48.6,65686
22:48.6,65684
22:48.6,65661
22:48.7,65661
22:48.7,65657
22:48.7,65651
22:48.7,65645
22:48.7,65625
22:48.7,65625
22:48.7,65623
22:48.7,65625
22:48.7,65611
22:48.7,65600
22:48.7,65600
22:48.7,65600
22:48.7,65581
22:48.7,65579
22:48.7,65583
22:48.7,65583
22:48.7,65565
22:48.7,65551
22:48.7,65553
22:48.7,65553
22:48.7,65546
22:48.7,65520
22:48.7,65518
22:48.7,65518
22:48.7,65518
22:48.7,65531
22:48.7,65517
22:48.7,65510
22:48.7,65506
22:48.7,65506
22:48.7,65497
22:48.7,65500
22:48.7,65494
22:48.7,65475
22:48.7,65475
22:48.7,65471
22:48.7,65475
22:48.7,65475
22:48.7,65464
22:48.7,65464
22:48.7,65467
22:48.7,65457
22:48.7,65460
22:48.7,65443
22:48.7,65443
22:48.7,65454
22:48.7,65446
22:48.7,65453
22:48.7,65438
22:48.7,65438
22:48.8,65445
22:48.8,65446
22:48.8,65452
22:48.8,65439
22:48.8,65439
22:48.8,65449
22:48.8,65453
22:48.8,65441
22:48.8,65445
22:48.8,65445
22:48.8,65440
22:48.8,65440
22:48.8,65439
22:48.8,65446
22:48.8,65446
22:48.8,65443
22:48.8,65439
22:48.8,65444
22:48.8,65444
22:48.8,65435
22:48.8,65424
22:48.8,65432
22:48.8,65434
22:48.8,65434
22:48.8,65442
22:48.8,65431
22:48.8,65436
22:48.8,65436
22:48.8,65436
22:48.8,65441
22:48.8,65428
22:48.8,65416
22:48.8,65428
22:48.8,65428
22:48.8,65428
22:48.8,65412
22:48.8,65436
22:48.8,65422
22:48.8,65422
22:48.8,65437
22:48.8,65428
22:48.8,65433
22:48.8,65415
22:48.8,65415
22:48.8,65434
22:48.8,65429
22:48.8,65435
22:48.8,65436
22:48.8,65436
22:48.8,65446
22:48.9,65444
22:48.9,65445
22:48.9,65442
22:48.9,65442
22:48.9,65454
22:48.9,65441
22:48.9,65457
22:48.9,65454
22:48.9,65454
22:48.9,65459
22:48.9,65459
22:48.9,65462
22:48.9,65469
22:48.9,65469
22:48.9,65473
22:48.9,65469
22:48.9,65468
22:48.9,65468
22:48.9,65474
22:48.9,65482
22:48.9,65479
22:48.9,65473
22:48.9,65473
22:48.9,65491
22:48.9,65466
22:48.9,65488
22:48.9,65481
22:48.9,65481
22:48.9,65479
22:48.9,65482
22:48.9,65483
22:48.9,65469
22:48.9,65469
22:48.9,65491
22:48.9,65499
22:48.9,65493
22:48.9,65485
22:48.9,65485
22:48.9,65485
22:48.9,65515
22:48.9,65485
22:48.9,65487
22:48.9,65487
22:48.9,65487
22:48.9,65482
22:48.9,65478
22:48.9,65473
22:48.9,65473
22:48.9,65483
22:48.9,65485
22:49.0,65480
22:49.0,65472
22:49.0,65472
22:49.0,65483
22:49.0,65490
22:49.0,65486
22:49.0,65481
22:49.0,65481
22:49.0,65490
22:49.0,65480
22:49.0,65485
22:49.0,65485
22:49.0,65486
22:49.0,65487
22:49.0,65477
22:49.0,65483
22:49.0,65483
22:49.0,65497
22:49.0,65496
22:49.0,65491
22:49.0,65494
22:49.0,65494
22:49.0,65491
22:49.0,65487
22:49.0,65489
22:49.0,65487
22:49.0,65487
22:49.0,65494
22:49.0,65492
22:49.0,65488
22:49.0,65492
22:49.0,65492
22:49.0,65494
